English,Polish,German
Sometimes,Czasami,Manchmal
Often,Często,Oft
Rarely,Rzadko,Selten
Now,Teraz,Jetzt
Later,Później,Später
Before,Przed,Vor
Minute,Minuta,Minute
Second,Sekunda,Sekunde
Hour,Godzina,Stunde
Century,Wiek,Jahrhundert
Decade,Dekada,Jahrzehnt
Era,Era,Epoche
Moment,Moment,Moment
Future,Przyszłość,Zukunft
Past,Przeszłość,Vergangenheit
Present,Teraźniejszość,Gegenwart
To laugh,Śmiać się,Lachen
To cry,Płakać,Weinen
To smile,Uśmiechać się,Lächeln
To think,Myśleć,Denken
To understand,Rozumieć,Verstehen
To remember,Pamiętać,Erinnern
To forget,Zapominać,Vergessen
To love,Kochać,Lieben
To hate,Nienawidzić,Hassen
To help,Pomagać,Helfen
Office,Biuro,Büro
Meeting,Spotkanie,Treffen
Project,Projekt,Projekt
Report,Raport,Bericht
Research,Badanie,Forschung
Idea,Pomysł,Idee
Problem,Problem,Problem
Solution,Rozwiązanie,Lösung
Question,Pytanie,Frage
Answer,Odpowiedź,Antwort
Sport,Sport,Sport
Game,Gra,Spiel
Music,Muzyka,Musik
Movie,Film,Film
Dance,Taniec,Tanz
Art,Sztuka,Kunst
Theater,Teatr,Theater
Song,Piosenka,Lied
Guitar,Gitara,Gitarre
Piano,Fortepian,Klavier
Pen,Długopis,Stift
Pencil,Ołówek,Bleistift
Paper,Papier,Papier
Bookcase,Regał,Bücherregal
Notebook,Notatnik,Notizbuch
Bag,Torba,Tasche
Clock,Zegar,Uhr
Map,Mapa,Karte
Key,Klucz,Schlüssel
Doorbell,Dzwonek,Türklingel
Forest,Las,Wald
Desert,Pustynia,Wüste
Beach,Plaża,Strand
Island,Wyspa,Insel
Valley,Dolina,Tal
Hill,Wzgórze,Hügel
Waterfall,Wodospad,Wasserfall
Cave,Jaskinia,Höhle
Volcano,Wulkan,Vulkan
Earthquake,Trzęsienie ziemi,Erdbeben
Rainforest,Las deszczowy,Regenwald
Glacier,Lodowiec,Gletscher
Meadow,Łąka,Wiese
